1_0h,,2_0h,,3_0h,,1_12h,,2_12h,,3_12h,,1_24h,,2_24h,,3_24h,,1_36h,,2_36h,,3_36h,,1_48h,,2_48h,,3_48h,
0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05
0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.172,8.69582380432827E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.687,0.000347327381021716,0.172,8.69582380432827E-05,0.086,4.34791190216414E-05
0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.172,8.69582380432827E-05,0.343,0.000173410904935151,0.172,8.69582380432827E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,1.116,0.000564217404978509,0.172,8.69582380432827E-05,0.172,8.69582380432827E-05
0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.172,8.69582380432827E-05,0.086,4.34791190216414E-05,0.343,0.000173410904935151,0.343,0.000173410904935151,0.258,0.000130437357064924,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,1.288,0.000651175643021792,0.172,8.69582380432827E-05,0.172,8.69582380432827E-05
0.172,8.69582380432827E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.172,8.69582380432827E-05,0.086,4.34791190216414E-05,0.343,0.000173410904935151,0.343,0.000173410904935151,0.258,0.000130437357064924,0.258,0.000130437357064924,0.086,4.34791190216414E-05,0.172,8.69582380432827E-05,3.52,0.00177961045297881,0.343,0.000173410904935151,0.258,0.000130437357064924
0.172,8.69582380432827E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.086,4.34791190216414E-05,0.172,8.69582380432827E-05,0.172,8.69582380432827E-05,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,0.258,0.000130437357064924,0.172,8.69582380432827E-05,0.343,0.000173410904935151,3.52,0.00177961045297881,0.343,0.000173410904935151,0.258,0.000130437357064924
0.172,8.69582380432827E-05,0.086,4.34791190216414E-05,0.172,8.69582380432827E-05,0.086,4.34791190216414E-05,0.172,8.69582380432827E-05,0.172,8.69582380432827E-05,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,0.172,8.69582380432827E-05,0.343,0.000173410904935151,3.606,0.00182308957200045,0.343,0.000173410904935151,0.343,0.000173410904935151
0.172,8.69582380432827E-05,0.086,4.34791190216414E-05,0.172,8.69582380432827E-05,0.172,8.69582380432827E-05,0.258,0.000130437357064924,0.172,8.69582380432827E-05,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,0.172,8.69582380432827E-05,0.343,0.000173410904935151,3.606,0.00182308957200045,0.429,0.000216890023956792,0.343,0.000173410904935151
0.172,8.69582380432827E-05,0.086,4.34791190216414E-05,0.172,8.69582380432827E-05,0.172,8.69582380432827E-05,0.343,0.000173410904935151,0.172,8.69582380432827E-05,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,4.979,0.00251723876289247,0.687,0.000347327381021716,0.343,0.000173410904935151
0.172,8.69582380432827E-05,0.172,8.69582380432827E-05,0.172,8.69582380432827E-05,0.172,8.69582380432827E-05,0.343,0.000173410904935151,0.258,0.000130437357064924,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,0.343,0.000173410904935151,5.237,0.00264767611995739,0.687,0.000347327381021716,0.343,0.000173410904935151
