categoria,tiempo,celulas,decelulas
a,0+0,1.3705,0.037003378224157
a,0+45,1.364,0.044715769030623
a,0+90,1.36225,0.048509663985643
b,12+0,1.51675,0.053964687528049
b,12+45,1.54,0.058399486299111
b,12+90,1.56325,0.063211450703176
c,24+0,1.71625,0.009148087231766
c,24+45,1.71275,0.0069776428684764
c,24+90,1.71475,0.0088423695919137
d,36+0,1.752,0.026172504656605
d,36+45,1.7645,0.012658988901172
d,36+90,1.75975,0.021075756214191
e,48+0,1.75675,0.016083765106467
e,48+45,1.758,0.011247221879202
e,48+90,1.77525,0.0081047825387236
