,,N of components,ς,μ,Dgr,ς,μ,LCCS (nodes),ς,μ,LCCS (edges) ,ς,μ,LCC APL,ς,μ,Area senderos,Mean,Min,Max,%,ς,μ,,Area celulas,Mean,Min,Max,,ς,μ,
,,,,,,,,,,,,,,,,,197796.096,141.888,54,207,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1_1-0h,,468,,,1.059,,,10,,,9,,,2.20689655172414,,,,,,,0,,,,6441.165,85.112,85,122,3.25646720550036,,,
R2_1-0h,,388,,,1.025,,,6,,,4,,,1.42857142857143,,,,,,,0,,,,8640.788,85.027,85,115,4.36853313828803,,,
R3_1-0h,,425,,,1.047,,,8,,,6,,,1.875,,,,,,,0,,,,9697.932,85.237,85,119,4.90299464757889,,,
R4_1-0h,,554,61.85214224261,458.75,1.042,0.012214233500306,1.04325,8,1.4142135623731,8,6,1.7853571071357,6.25,1.875,0.27666513809556,1.8463669950739,,,,,0,,,,11020.093,85.684,85,116,5.57144110670415,0.978361929185242,4.52485902451786,
R1_2-0h,,468,,,1.071,,,10,,,8,,,2.27586206896552,,,,,,,0,,,,6065.318,85.308,85,123,3.06644980495469,,,
R2_2-0h,,368,,,1.021,,,6,,,4,,,1.42857142857143,,,,,,,0,,,,7003.476,85.054,85,114,3.54075542522336,,,
R3_2-0h,,418,,,1.023,,,8,,,6,,,1.875,,,,,,,0,,,,8948.213,85.296,85,117,4.52395834951161,,,
R4_2-0h,,526,58.6259328283994,445,1.065,0.023108440016583,1.045,8,1.4142135623731,8,6,1.4142135623731,6,2.0625,0.31229346706756,1.9104833743842,,,,,0,,,,16379.045,85.395,85,119,8.28077263971884,2.36443376588641,4.85298405485213,9473.8594166667
R1_3-0h,,474,,,1.067,,,8,,,6,,,1.54545454545455,,,,,,,0,,,,7200.156,85.498,85,121,3.64019115928355,,,
R2_3-0h,,365,,,1.019,,,6,,,4,,,1.42857142857143,,,,,,,0,,,,6465.546,85.12,85,115,3.26879353574299,,,
R3_3-0h,,408,,,1.022,,,6,,,4,,,1.42857142857143,,,,,,,0,,,,9437.638,85.294,85,118,4.77139751029262,,,
R4_3-0h,,505,54.8041969195791,438,1.063,0.022320114247019,1.04275,8,1,7,6,1,5,1.875,0.18277726735902,1.5693993506494,,,,,0,,,,16386.943,85.73,85,114,8.28476564067271,2.28675874324778,4.99128696149797,3415.9289195146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72699511698888,4.78971001362265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1_1-12h,,355,,,1.179,,,12,,,10,,,2.65217391304348,,,1601.084,167.329,146,186,0.809461881391228,,,,7084.088,85.175,85,119,3.58151052688118,,,
R2_1-12h,,248,,,1.213,,,13,,,13,,,2.48214285714286,,,2650.76,166.772,127,177,1.34014778532333,,,,5506.87,85.163,85,122,2.78411460658961,,,
R3_1-12h,,164,,,1.398,,,30,,,30,,,5.64643799472296,,,5295.166,166.684,131,205,2.67708317155056,,,,6637.33,85.049,85,116,3.35564257041757,,,
R4_1-12h,,127,87.671260969602,223.5,1.691,0.20307310875643,1.37025,76,25.974747351996,32.75,82,28.882304270955,33.75,8.65062916358253,2.5256700219079,4.857845982123,8549.959,164.724,118,180,4.32261261617621,1.56796377362382,2.28732636361033,,9620.496,85.201,84,114,4.86384523989796,0.878343038361094,3.64627823594658,
R1_2-12h,,326,,,1.182,,,16,,,14,,,3.48913043478261,,,1413.246,164.284,119,175,0.714496407451844,,,,7922.918,85.107,85,118,4.00559877582215,,,
R2_2-12h,,226,,,1.303,,,30,,,30,,,5.27440633245383,,,4071.475,164.14,130,181,2.05842030370508,,,,8350.275,85.126,85,119,4.22165814637717,,,
R3_2-12h,,123,,,1.609,,,66,,,66,,,8.28557263262271,,,7677.819,166.676,131,189,3.88168379218162,,,,7115.852,85.055,85,118,3.59756948893471,,,
R4_2-12h,,62,100.663734780704,184.25,1.973,0.3059496486352,1.51675,255,96.000976557533,91.75,287,110.02130475503,99.25,23.879293578845,8.0635170122765,10.232100744676,9502.368,163.439,125,178,4.80412313092368,1.83203716764775,2.86468090856556,5857.64175,8788.276,85.23,85,110,4.44309881626784,0.360326044710766,4.06698130685047,7655.3270833333
R1_3-12h,,322,,,1.184,,,20,,,19,,,3.84415584415584,,,2100.553,166.26,138,171,1.06197899881704,,,,8338.256,85.139,76,121,4.21558168670832,,,
R2_3-12h,,206,,,1.338,,,38,,,37,,,6.42947702060222,,,4762.216,164.22,129,176,2.40763902640424,,,,7578.492,85.132,85,118,3.83146692642508,,,
R3_3-12h,,72,,,1.939,,,268,,,305,,,21.6373205470124,,,10180.146,166.707,126,184,5.14678813478705,,,,6162.07,85.088,85,119,3.11536482499634,,,
R4_3-12h,,46,110.782444457594,161.5,2.099,0.38704715474991,1.64,422,167.23934943667,187,484,193.97470840293,211.25,23.8628950688139,8.8888492906591,13.943462120146,12486.909,164.9,118,187,6.31302096073726,2.41841809812892,3.7323567801864,3576.0120501541,8759.002,85.306,84,114,4.42829872638133,0.577066986099082,3.89767804112777,1150.7158480228
,,,,,,,,,,,,,,,,,,,,,,1.80792852966828,2.96145468412076,,,,,,,0.581768736235742,3.87031252797494,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1_1-24h,,19,,,2.586,,,808,,,1076,,,22.7090063375419,,,13893.802,167.023,121,170,7.02430547466417,,,,12449.822,85.098,85,120,6.29427084344476,,,
R2_1-24h,,8,,,2.73,,,1023,,,1407,,,23.7242405096109,,,22390.192,168.167,127,186,11.3198351498303,,,,14721.987,85.118,85,113,7.44301191869833,,,
R3_1-24h,,3,,,2.735,,,871,,,1191,,,24.5825288282818,,,19033.324,167.513,121,181,9.62269952992399,,,,9667.885,85.14,85,114,4.88780375119234,,,
R4_1-24h,,7,5.93190525885234,9.25,2.712,0.061079354122322,2.69075,881,78.617348594315,895.75,1203,119.19810191442,1219.25,23.0496421185751,0.71581697969503,23.516354448502,18945.93,166.984,122,222,9.57851564471727,1.77110209559846,9.38633894978393,,9410.596,87.167,84,131,4.75772585521607,1.27198979691458,5.84570309213788,
R1_2-24h,,14,,,2.682,,,1038,,,1413,,,24.833020287952,,,17736.318,167.41,117,174,8.96697071311256,,,,13492.716,86.273,85,120,6.82152796382796,,,
R2_2-24h,,5,,,2.698,,,925,,,1253,,,22.4910717643077,,,20554.826,167.348,117,180,10.3919270479434,,,,17011.666,85.074,85,114,8.60060756709779,,,
R3_2-24h,,6,,,2.707,,,772,,,1057,,,23.3737409901846,,,17402.451,167.407,121,179,8.79817718950328,,,,10040.985,85.13,85,118,5.07643234778507,,,
R4_2-24h,,7,3.53553390593274,8,2.703,0.0095,2.6975,912,94.399086330324,911.75,1241,126.0793400998,1241,24.401544018801,0.91124156341309,23.774844265311,18399.93,166.999,123,192,9.30247379604499,0.716054944072238,9.36488718665106,18613.508416667,9959.171,86.107,84,113,5.03506954960325,1.69647919285175,6.38340935707852,12049.658416667
R1_3-24h,,13,,,2.597,,,829,,,1094,,,23.7308755328618,,,17528.134,168.455,137,173,8.8617188885265,,,,11530.98,85.042,85,115,5.82973083553681,,,
R2_3-24h,,17,,,2.584,,,921,,,1214,,,23.1159304161471,,,17079.487,166.763,117,183,8.63489590815787,,,,13976.389,85.108,85,114,7.06605907934604,,,
R3_3-24h,,5,,,2.686,,,783,,,1058,,,23.4320153911311,,,20191.685,167.913,124,174,10.2083334344476,,,,11582.49,86.343,85,119,5.85577280554617,,,
